marcador	familia	informe_id	base_id	solapa	campo_logico	periodo_ref	operacion	valor_fijo	filtro	formato	catalogo	separador	notas
enc_e75	enc	jm	digital	Directa IVR	ivr_e75		SUMA			numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_marque1	enc	jm	digital	Directa IVR	ivr_marque1		SUMA			numero			SUMA y no ULTIMO (11/08): VALIDACION 3.2 verifico digito a digito que el deck publicado es la suma de las dos filas de la cuenta (40874+37763, 37055+34179, 13766+13833, 82+174). ULTIMO tomaba solo la segunda.
enc_e75_pct	enc	jm	digital	Directa IVR	ivr_e75/ivr_atendidos		PCT			porcentaje_sin_signo			PCT y no SUMA (11/08): sumar dos porcentajes da 77,6% donde el valor es 38,7%. El formato es numero porque la caja de la lamina ya trae su %, igual que los ecv_insc_*_pct.
enc_mails_enviados	enc	jm	digital	Directa Mail	mail_enviados		ULTIMO		mail_tipo=Convocatoria	numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_mails_entregados	enc	jm	digital	Directa Mail	mail_entregados		ULTIMO		mail_tipo=Convocatoria	numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_aperturas	enc	jm	digital	Directa Mail	mail_aperturas		ULTIMO		mail_tipo=Convocatoria	numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_clics_ctor	enc	jm	digital	Directa Mail	mail_clics		ULTIMO		mail_tipo=Convocatoria	numero			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_or	enc	jm	digital	Directa Mail	mail_or		ULTIMO		mail_tipo=Convocatoria	fraccion			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
enc_ctor	enc	jm	digital	Directa Mail	mail_ctor		ULTIMO		mail_tipo=Convocatoria	fraccion			filtro mail_tipo=Convocatoria (11/08): VALIDACION 3.3 — la lamina toma el envio de convocatoria, no el total de la cuenta (271.701 en 5 envios contra los 44.043 publicados). Ni SUMA ni ULTIMO a secas: con el filtro quedan 3 convocatorias y ULTIMO toma la del 25/07, que es la publicada. La ventana sola NO alcanza: 2 de las 5 filas caen dentro y la ultima es la de confirmacion.
mail_envios	mail	jm	digital	Directa Mail	mail_enviados		SUMA		mail_remitente=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_entregados	mail	jm	digital	Directa Mail	mail_entregados		SUMA		mail_remitente=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_aperturas	mail	jm	digital	Directa Mail	mail_aperturas		SUMA		mail_remitente=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
mail_or	mail	jm	digital	Directa Mail	mail_aperturas/mail_entregados		PCT		mail_remitente=jorge.macri@buenosaires.gob.ar	porcentaje_sin_signo			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_campanias	ivr	jm	digital	Directa IVR	ivr_id_cuenta		CONTEO			numero			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_llamados	ivr	jm	digital	Directa IVR	ivr_llamados		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_atendidos	ivr	jm	digital	Directa IVR	ivr_atendidos		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ivr_at_pct	ivr	jm	digital	Directa IVR	ivr_atendidos/ivr_llamados		PCT			porcentaje_sin_signo			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_google	pauta	jm	digital	Seguimiento digital	sd_pauta_google		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_meta	pauta	jm	digital	Seguimiento digital	sd_pauta_meta		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
pauta_prog	pauta	jm	digital	Seguimiento digital	sd_pauta_prog		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
imp_total	imp	jm	digital	Digital	dig_impresiones		SUMA		dig_jm_gcba=JM	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
frecuencia	frecuencia	jm	digital	Digital	dig_frecuencia		ULTIMO		dig_jm_gcba=JM	numero			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_envios	gcba	jm	digital	Directa Mail	mail_enviados		SUMA		mail_remitente!=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_entregados	gcba	jm	digital	Directa Mail	mail_entregados		SUMA		mail_remitente!=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_aperturas	gcba	jm	digital	Directa Mail	mail_aperturas		SUMA		mail_remitente!=jorge.macri@buenosaires.gob.ar	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_mail_or	gcba	jm	digital	Directa Mail	mail_aperturas/mail_entregados		PCT		mail_remitente!=jorge.macri@buenosaires.gob.ar	porcentaje_sin_signo			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_sms_envios	gcba	jm	digital	Directa SMS	sms_enviados		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_sms_entregados	gcba	jm	digital	Directa SMS	sms_entregados		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_google	gcba	jm	digital	Seguimiento digital	sd_pauta_google		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_meta	gcba	jm	digital	Seguimiento digital	sd_pauta_meta		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_pauta_prog	gcba	jm	digital	Seguimiento digital	sd_pauta_prog		SUMA			miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_imp_total	gcba	jm	digital	Digital	dig_impresiones		SUMA		dig_jm_gcba!=JM	miles			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
gcba_frecuencia	gcba	jm	digital	Digital	dig_frecuencia		ULTIMO		dig_jm_gcba!=JM	numero			Resumen Ejecutivo sembrado 16/08 — agregado global de digital (sin id_cuenta), recortado por la ventana del informe con la fecha_periodo de la solapa
ecv_barrios	ecv	jm	rdv	RVD JM-CM - ES	barrio		LISTA		figura=Jorge Macri		rdv/Comunas		R-18 — lista DISTINCT con canon del catalogo. separador vacio = ", "
ecv_inscriptos	ecv	jm	rdv	RVD JM-CM - ES	inscriptos		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_asistentes	ecv	jm	rdv	RVD JM-CM - ES	asistentes		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_mail	ecv	jm	rdv	RVD JM-CM - ES	insc_mail		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_cc	ecv	jm	rdv	RVD JM-CM - ES	insc_cc		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_ivr	ecv	jm	rdv	RVD JM-CM - ES	insc_ivr		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_digital	ecv	jm	rdv	RVD JM-CM - ES	insc_digital		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_dif	ecv	jm	rdv	RVD JM-CM - ES	insc_dif		SUMA		figura=Jorge Macri	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
